SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
,"4: LAND, PROPERTY AND EQUIPMENT",1,4,"Less: accumulated depreciation and amortization, (6,647, ), (6,105"
,5: SELF-INSURANCE,3,3,"Workers' compensation, 77, 71"
,Benefit Obligations and Funded Status,8,4,"Benefits paid, (9, ), (8"
,Benefit Obligations and Funded Status_2,2,3,"Accrued salaries, wages and related benefits, 10, 9"
,Components of SERP Expense,3,3,"Participant service cost, 2, 3"
,"s to Consolidated Financial Statements Nordstrom, Inc_2",2,4,"Accumulated loss, ($30, ), ($46"
,Assumptions,4,4,"Discount rate, 4.27, 3.95, 4.31"
,Debt   8: DEBT AND CREDIT FACILITIES,1,4,"Less: current portion, (8, ), (56"
,Interest Expense,2,5,"Interest income, (15, ), (5, (1"
,Financial Instruments Not Measured at Fair Value,1,3,"Carrying value of long-term debt, 2,685, 2,737"
,10: LEASES,1,4,"Property incentives, (79, ), (80"
,12: SHAREHOLDERS' EQUITY,11,4,"Line Item, Shares, Average priceper share, Amount"
,"s to Consolidated Financial Statements Nordstrom, Inc_3",1,5,"Income tax benefit, (23, ), (20, (28"
,"s to Consolidated Financial Statements Nordstrom, Inc_4",2,3,"Cost of sales and related buying and occupancy costs, 28, 25"
,Restricted Stock,2,4,"Vested, (1.2, ), 46"
,Stock Options,7,4,"Line Item, Risk-free interest rate: Represents the yield on U.S. Treasury zero-coupon securities that mature over the 10-year life of the stock options, 1.0% - 2.5, 0.7% - 1.9"
,Stock Options_2,5,5,"Outstanding, end of year, 8.4, 53, 5, 62"
,Income Tax Accounting Implications of the Tax Cuts and Jobs Act_2,1,5,"Foreign, (59, ), (13, (3"
,Income Tax Accounting Implications of the Tax Cuts and Jobs Act_3,4,5,"Federal, (5, ), 10, (17"
,Income Tax Accounting Implications of the Tax Cuts and Jobs Act_4,3,5,"Federal credits, (1.5, ), (0.7, (0.6"
,"s to Consolidated Financial Statements Nordstrom, Inc_5",6,4,"Valuation allowance, (43, ), (51"
,"s to Consolidated Financial Statements Nordstrom, Inc_6",1,5,"Lapses in statute, (2, ), (1, (5"
,15: EARNINGS PER SHARE,6,4,"Net earnings, 564, 437, 354"
,Accounting Policy,22,4,"Interest expense, net, --, (104, )"
,(UNAUDITED),16,7,"Selling, general and administrative expenses3, (1,120, ), (1,232, (1,208, (1,308, (4,868"
,"Exhibit Index Nordstrom, Inc. and Subsidiaries",22,3,"Line Item, Exhibit, Method of Filing"
,"Exhibit Index Nordstrom, Inc. and Subsidiaries_2",23,3,"Line Item, Exhibit, Method of Filing"
,"Exhibit Index Nordstrom, Inc. and Subsidiaries_3",22,3,"Line Item, Exhibit, Method of Filing"
,"Exhibit Index Nordstrom, Inc. and Subsidiaries_4",19,3,"Line Item, Exhibit, Method of Filing"
,"Exhibit Index Nordstrom, Inc. and Subsidiaries_5",7,3,"Line Item, Exhibit, Method of Filing"
